rxn_SMILES,step_score,tH,tM,n_parr,reaction_type
OB(O)c1ccnc(F)c1.C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2>CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC(=CC=C2)P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+].[O-]P(=O)([O-])[O-].[K+].[K+].[K+]>C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,-0.23756768899292738,0.052083333333333336,0.5833333333333334,48.0,wingSuzuki
Fc1cc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccnc(F)c6)c5F)ccc4c3)c2F)ccn1.c1ccc2c(c1)[nH]c1ccccc12>C(=O)([O-])[O-].[Cs+].[Cs+]>Fc1cc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccnc(F)c6)c5-n5c6ccccc6c6ccccc65)ccc4c3)c2-n2c3ccccc3c3ccccc32)ccn1,5.8902391228621855,6.5,0.0,1.0,SNAr
C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2.Brc1cnc2nc(Br)ccc2c1>CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC(=CC=C2)P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+].[O-]P(=O)([O-])[O-].[K+].[K+].[K+]>Fc1cc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccnc(F)c6)c5F)ccc4c3)c2F)ccn1,-1.463540065405401,0.052083333333333336,0.5833333333333334,48.0,pentamerSuzuki
OB(O)c1ccnc(F)c1.C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2>CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC(=CC=C2)P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+].[O-]P(=O)([O-])[O-].[K+].[K+].[K+]>C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,-0.23756768899292738,0.052083333333333336,0.5833333333333334,48.0,wingSuzuki
Fc1cc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccnc(F)c6)c5F)c34)c2F)ccn1.c1ccc2c(c1)[nH]c1ccccc12>C(=O)([O-])[O-].[Cs+].[Cs+]>Fc1cc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccnc(F)c6)c5-n5c6ccccc6c6ccccc65)c34)c2-n2c3ccccc3c3ccccc32)ccn1,5.889608064957012,6.5,0.0,1.0,SNAr
C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2.Brc1cccc2cccc(Br)c12>CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC(=CC=C2)P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+].[O-]P(=O)([O-])[O-].[K+].[K+].[K+]>Fc1cc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccnc(F)c6)c5F)c34)c2F)ccn1,-1.6937957698719828,0.052083333333333336,0.5833333333333334,48.0,pentamerSuzuki
OB(O)c1ccnc(F)c1.C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2>CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC(=CC=C2)P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+].[O-]P(=O)([O-])[O-].[K+].[K+].[K+]>C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,-0.23756768899292738,0.052083333333333336,0.5833333333333334,48.0,wingSuzuki
CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3F)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3F)cc21.c1ccc2c(c1)[nH]c1ccccc12>C(=O)([O-])[O-].[Cs+].[Cs+]>CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)cc21,5.970130096591985,6.5,0.0,1.0,SNAr
C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2.CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21>CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC(=CC=C2)P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+].[O-]P(=O)([O-])[O-].[K+].[K+].[K+]>CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3F)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3F)cc21,-1.6176594021777857,0.052083333333333336,0.5833333333333334,48.0,pentamerSuzuki
OB(O)c1ccnc(F)c1.C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2>CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC(=CC=C2)P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+].[O-]P(=O)([O-])[O-].[K+].[K+].[K+]>C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,-0.23756768899292738,0.052083333333333336,0.5833333333333334,48.0,wingSuzuki
