index,product_SMILES,route_name,routescore,visited_nodes
59,Cc1nc2c(-c3cccc(-c4ccnc(F)c4)c3F)c3nsnc3c(-c3cccc(-c4ccnc(F)c4)c3F)c2nc1C,1,65956.14758335857,"[5043, 1148, 28, 3861, 3862, 3943, 8, 22, 3861, 3862]"
60,Fc1cc(-c2cccc(-c3ccccc3Oc3ccccc3-c3cccc(-c4ccnc(F)c4)c3F)c2F)ccn1,1,58651.912411984944,"[5044, 1148, 29, 3861, 3862, 3943, 8, 22, 3861, 3862]"
61,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(F)c4)c3F)c3ccccc3c(-c3cccc(-c4ccnc(F)c4)c3F)c2c1,1,65715.21707171947,"[5045, 1148, 30, 3861, 3862, 3943, 8, 22, 3861, 3862]"
62,Fc1cc(-c2cccc(-c3cc(F)c(-c4cccc(-c5ccnc(F)c5)c4F)cc3F)c2F)ccn1,1,57916.65774819046,"[5046, 1148, 31, 3861, 3862, 3943, 8, 22, 3861, 3862]"
63,Fc1cc(-c2cccc(-c3ccc4oc(-c5cccc(-c6ccnc(F)c6)c5F)cc4c3)c2F)ccn1,1,34945432.0667852,"[5047, 1148, 32, 3861, 3862, 7750, 3872, 3873, 3874, 7749, 3868, 3869, 3870, 3871, 3943, 8, 22, 3861, 3862]"
64,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4F)o3)c2F)ccn1,1,58540.926569052266,"[5048, 1148, 33, 3861, 3862, 3943, 8, 22, 3861, 3862]"
65,Fc1cc(-c2cccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5cccc(-c6ccnc(F)c6)c5F)ccc3-4)c2F)ccn1,1,59363.29830144249,"[5049, 1148, 34, 3861, 3862, 3943, 8, 22, 3861, 3862]"
66,Fc1cc(-c2cccc(-c3cc(-c4cccc(-c5ccnc(F)c5)c4F)c(Cl)cc3Cl)c2F)ccn1,1,66572.06483131288,"[5050, 1148, 35, 3861, 3862, 3943, 8, 22, 3861, 3862]"
67,Fc1cc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccnc(F)c6)c5F)ccc4c3)c2F)ccn1,1,61197.54660420826,"[5051, 1148, 36, 3861, 3862, 3943, 8, 22, 3861, 3862]"
68,Fc1cc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccnc(F)c6)c5F)c34)c2F)ccn1,1,58341.83828325416,"[5052, 1148, 37, 3861, 3862, 3943, 8, 22, 3861, 3862]"
69,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3F)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3F)cc21,1,59214.35737878487,"[5053, 1148, 38, 3861, 3862, 3943, 8, 22, 3861, 3862]"
70,Fc1cc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5ccnc(F)c5)c4F)c4nsnc34)c2F)ccn1,1,58604.0280105031,"[5054, 1148, 39, 3861, 3862, 3943, 8, 22, 3861, 3862]"
71,C[Si](C)(c1ccc(-c2cccc(-c3ccnc(F)c3)c2F)cc1)c1ccc(-c2cccc(-c3ccnc(F)c3)c2F)cc1,1,5737844.427816229,"[5055, 1148, 40, 3861, 3862, 7753, 3881, 3882, 3883, 3943, 8, 22, 3861, 3862]"
72,Fc1cc(-c2cccc(-c3ccc4nc5ccc(-c6cccc(-c7ccnc(F)c7)c6F)cc5nc4c3)c2F)ccn1,1,63831.22693285482,"[5056, 1148, 41, 3861, 3862, 3943, 8, 22, 3861, 3862]"
73,C[Si](C)(c1ccccc1-c1cccc(-c2ccnc(F)c2)c1F)c1ccccc1-c1cccc(-c2ccnc(F)c2)c1F,1,7932361.503568417,"[5039, 1148, 3884, 3861, 3862, 7752, 3878, 3879, 3880, 42, 7751, 3875, 3876, 3877, 3943, 8, 22, 3861, 3862]"
74,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4F)nc3)c2F)ccn1,1,57794.59991149772,"[5040, 1148, 43, 3861, 3862, 3943, 8, 22, 3861, 3862]"
75,Fc1cc(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5ccnc(F)c5)c4F)cc3-n3c4ccccc4c4ccccc43)c2F)ccn1,1,21636238.139266163,"[7594, 1156, 45, 3866, 5046, 1148, 31, 3861, 3862, 3943, 8, 22, 3861, 3862]"
76,Fc1cc(-c2ccsc2-c2cc(-c3sccc3-c3ccnc(F)c3)c3ccccc3c2)ccn1,1,59426.054988144824,"[5149, 1262, 26, 3861, 3862, 3949, 8, 12, 3861, 3862]"
77,Fc1cc(-c2ccsc2-c2cc(Cl)c(-c3sccc3-c3ccnc(F)c3)s2)ccn1,1,60038.84638512824,"[5150, 1262, 27, 3861, 3862, 3949, 8, 12, 3861, 3862]"
78,Cc1nc2c(-c3sccc3-c3ccnc(F)c3)c3nsnc3c(-c3sccc3-c3ccnc(F)c3)c2nc1C,1,65022.36489560527,"[5151, 1262, 28, 3861, 3862, 3949, 8, 12, 3861, 3862]"
79,Fc1cc(-c2ccsc2-c2ccccc2Oc2ccccc2-c2sccc2-c2ccnc(F)c2)ccn1,1,57869.96100153861,"[5152, 1262, 29, 3861, 3862, 3949, 8, 12, 3861, 3862]"
80,CC(C)(C)c1ccc2c(-c3sccc3-c3ccnc(F)c3)c3ccccc3c(-c3sccc3-c3ccnc(F)c3)c2c1,1,64788.63247312414,"[5153, 1262, 30, 3861, 3862, 3949, 8, 12, 3861, 3862]"
81,Fc1cc(-c2ccsc2-c2cc(F)c(-c3sccc3-c3ccnc(F)c3)cc2F)ccn1,1,57146.62924737539,"[5154, 1262, 31, 3861, 3862, 3949, 8, 12, 3861, 3862]"
82,Fc1cc(-c2ccsc2-c2ccc3oc(-c4sccc4-c4ccnc(F)c4)cc3c2)ccn1,1,34944663.00625427,"[5155, 1262, 32, 3861, 3862, 7750, 3872, 3873, 3874, 7749, 3868, 3869, 3870, 3871, 3949, 8, 12, 3861, 3862]"
83,Fc1cc(-c2ccsc2-c2ccc(-c3sccc3-c3ccnc(F)c3)o2)ccn1,1,57753.719440993045,"[5156, 1262, 33, 3861, 3862, 3949, 8, 12, 3861, 3862]"
84,Fc1cc(-c2ccsc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4sccc4-c4ccnc(F)c4)ccc2-3)ccn1,1,58576.93339878635,"[5157, 1262, 34, 3861, 3862, 3949, 8, 12, 3861, 3862]"
85,Fc1cc(-c2ccsc2-c2cc(-c3sccc3-c3ccnc(F)c3)c(Cl)cc2Cl)ccn1,1,65616.63504676805,"[5158, 1262, 35, 3861, 3862, 3949, 8, 12, 3861, 3862]"
86,Fc1cc(-c2ccsc2-c2cnc3nc(-c4sccc4-c4ccnc(F)c4)ccc3c2)ccn1,1,60357.13343175128,"[5159, 1262, 36, 3861, 3862, 3949, 8, 12, 3861, 3862]"
87,Fc1cc(-c2ccsc2-c2cccc3cccc(-c4sccc4-c4ccnc(F)c4)c23)ccn1,1,57563.530032731935,"[5160, 1262, 37, 3861, 3862, 3949, 8, 12, 3861, 3862]"
88,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3ccnc(F)c3)ccc2-c2ccc(-c3sccc3-c3ccnc(F)c3)cc21,1,58442.394006714414,"[5161, 1262, 38, 3861, 3862, 3949, 8, 12, 3861, 3862]"
89,Fc1cc(-c2ccsc2-c2c(F)c(F)c(-c3sccc3-c3ccnc(F)c3)c3nsnc23)ccn1,1,57823.24991505628,"[5162, 1262, 39, 3861, 3862, 3949, 8, 12, 3861, 3862]"
90,C[Si](C)(c1ccc(-c2sccc2-c2ccnc(F)c2)cc1)c1ccc(-c2sccc2-c2ccnc(F)c2)cc1,1,5737075.367285298,"[5163, 1262, 40, 3861, 3862, 7753, 3881, 3882, 3883, 3949, 8, 12, 3861, 3862]"
91,Fc1cc(-c2ccsc2-c2ccc3nc4ccc(-c5sccc5-c5ccnc(F)c5)cc4nc3c2)ccn1,1,62938.79730155159,"[5164, 1262, 41, 3861, 3862, 3949, 8, 12, 3861, 3862]"
92,C[Si](C)(c1ccccc1-c1sccc1-c1ccnc(F)c1)c1ccccc1-c1sccc1-c1ccnc(F)c1,1,7931592.443037488,"[5147, 1262, 3884, 3861, 3862, 7752, 3878, 3879, 3880, 42, 7751, 3875, 3876, 3877, 3949, 8, 12, 3861, 3862]"
93,Fc1cc(-c2ccsc2-c2ccc(-c3sccc3-c3ccnc(F)c3)nc2)ccn1,1,57024.766271973735,"[5148, 1262, 43, 3861, 3862, 3949, 8, 12, 3861, 3862]"
94,Fc1cc(-c2ccsc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3sccc3-c3ccnc(F)c3)cc2-n2c3ccccc3c3ccccc32)ccn1,1,21469817.771189272,"[7600, 1270, 45, 3866, 5154, 1262, 31, 3861, 3862, 3949, 8, 12, 3861, 3862]"
95,Fc1cc(-c2cccc(-c3cc(-c4cccc(-c5ccnc(F)c5)c4)c4ccccc4c3)c2)ccn1,1,59143.926522761445,"[5077, 1186, 26, 3861, 3862, 3945, 8, 23, 3861, 3862]"
96,Fc1cc(-c2cccc(-c3cc(Cl)c(-c4cccc(-c5ccnc(F)c5)c4)s3)c2)ccn1,1,59749.385285123586,"[5078, 1186, 27, 3861, 3862, 3945, 8, 23, 3861, 3862]"
97,Cc1nc2c(-c3cccc(-c4ccnc(F)c4)c3)c3nsnc3c(-c3cccc(-c4ccnc(F)c4)c3)c2nc1C,1,64682.802132513694,"[5079, 1186, 28, 3861, 3862, 3945, 8, 23, 3861, 3862]"
98,Fc1cc(-c2cccc(-c3ccccc3Oc3ccccc3-c3cccc(-c4ccnc(F)c4)c3)c2)ccn1,1,57606.92952938287,"[5080, 1186, 29, 3861, 3862, 3945, 8, 23, 3861, 3862]"
99,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(F)c4)c3)c3ccccc3c(-c3cccc(-c4ccnc(F)c4)c3)c2c1,1,64452.69794174676,"[5081, 1186, 30, 3861, 3862, 3945, 8, 23, 3861, 3862]"
100,Fc1cc(-c2cccc(-c3cc(F)c(-c4cccc(-c5ccnc(F)c5)c4)cc3F)c2)ccn1,1,56889.607575584756,"[5082, 1186, 31, 3861, 3862, 3945, 8, 23, 3861, 3862]"
101,Fc1cc(-c2cccc(-c3ccc4oc(-c5cccc(-c6ccnc(F)c6)c5)cc4c3)c2)ccn1,1,34944406.47249239,"[5083, 1186, 32, 3861, 3862, 7750, 3872, 3873, 3874, 7749, 3868, 3869, 3870, 3871, 3945, 8, 23, 3861, 3862]"
102,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4)o3)c2)ccn1,1,57488.03879891104,"[5084, 1186, 33, 3861, 3862, 3945, 8, 23, 3861, 3862]"
103,Fc1cc(-c2cccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5cccc(-c6ccnc(F)c6)c5)ccc3-4)c2)ccn1,1,58311.677284499274,"[5085, 1186, 34, 3861, 3862, 3945, 8, 23, 3861, 3862]"
