,not_matched
117,Fc1cc(-c2c(F)cccc2-c2ccco2)c(F)cc1-c1c(F)cccc1-c1ccco1
118,C[Si](C)(c1ccc(-c2cc3cc(-c4cc(F)cc(F)c4)ccc3o2)cc1)c1ccc(-c2cc3cc(-c4cc(F)cc(F)c4)ccc3o2)cc1
119,Cc1nc2c(-c3cccc(-c4ccnc(F)c4)c3)c3nsnc3c(-c3cccc(-c4ccnc(F)c4)c3)c2nc1C
120,c1ccc(-c2ccccc2-c2ccc3[nH]ccc3c2)c(Oc2ccccc2-c2ccccc2-c2ccc3[nH]ccc3c2)c1
121,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3cc(F)c(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)cc3F)ccc21
122,Cc1nc2c(-c3c(F)cccc3-c3cncc(S(C)(=O)=O)c3)c3nsnc3c(-c3c(F)cccc3-c3cncc(S(C)(=O)=O)c3)c2nc1C
123,c1ccc2c(-n3c4ccccc4c4ccccc43)ccc(-c3ccc(-c4ccc5nc6ccc(-c7ccc(-c8ccc(-n9c%10ccccc%10c%10ccccc%109)c9ccccc89)s7)cc6nc5c4)s3)c2c1
124,CSc1cncc(-c2cccc(-c3cc(-c4cccc(-c5cncc(SC)c5)c4F)c(Cl)cc3Cl)c2F)c1
125,Cn1ncc(-c2nccs2)c1-c1ccc([Si](C)(C)c2ccc(-c3c(-c4nccs4)cnn3C)cc2)cc1
126,c1cnc(-n2ccc3cc(-c4ccc5oc(-c6ccc(-c7cc8cc(-c9ccc%10c(ccn%10-c%10cnccn%10)c9)ccc8o7)o6)cc5c4)ccc32)cn1
127,Fc1c(F)c(-c2cc(-c3ccc4c(ccn4-c4cnccn4)c3)cc(C(F)(F)F)c2)c2nsnc2c1-c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)cc(C(F)(F)F)c1
128,CSc1cncc(-c2cccc(-c3ccc(-c4cccc(-c5cncc(SC)c5)c4F)o3)c2F)c1
129,c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(-c2ccc(-c3c(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cccc3-n3c4ccccc4c4ccccc43)o2)c(-n2c3ccccc3c3ccccc32)c1
130,c1cc(-c2ccc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3)nc2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
131,CS(=O)(=O)c1cncc(-c2ccsc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3sccc3-c3cncc(S(C)(=O)=O)c3)cc2-n2c3ccccc3c3ccccc32)c1
132,c1cc(-c2ccc3ncccc3c2)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3c(-c4ccc5ncccc5c4)cccc3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1
133,c1coc(-c2ccc(-c3cnc4nc(-c5ccc(-c6ccco6)s5)ccc4c3)s2)c1
134,FC(F)(F)c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cc(-c3cc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c3ccccc3c2)c1
135,CC(C)(C)c1ccc2c(-c3cccc(-c4ccc5[nH]ccc5c4)c3)c3ccccc3c(-c3cccc(-c4ccc5[nH]ccc5c4)c3)c2c1
136,CC(C)(C)c1ccc2c(-c3cc(-c4ccc(F)c5ccccc45)cc(C(F)(F)F)c3)c3ccccc3c(-c3cc(-c4ccc(F)c5ccccc45)cc(C(F)(F)F)c3)c2c1
137,Fc1cc(-c2cc(-c3ccc4[nH]ccc4c3)cc(C(F)(F)F)c2)c(F)cc1-c1cc(-c2ccc3[nH]ccc3c2)cc(C(F)(F)F)c1
138,C[Si](C)(c1ccc(-c2cccc(-c3cc(F)cc(F)c3)c2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2cccc(-c3cc(F)cc(F)c3)c2-n2c3ccccc3c3ccccc32)cc1
139,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3ccc(-c4nccs4)s3)ccc2-c2ccc(-c3ccc(-c4nccs4)s3)cc21
140,Fc1cccc(-c2ccc3c(ccn3-c3cnccn3)c2)c1-c1ccc(-c2c(F)cccc2-c2ccc3c(ccn3-c3cnccn3)c2)o1
141,c1cc(-c2cc(-c3cccc(-c4ccco4)c3)c3ccccc3c2)cc(-c2ccco2)c1
142,c1cnc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccnc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc2-n2c3ccccc3c3ccccc32)c1
143,Fc1cccc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1-c1cnc2nc(-c3c(F)cccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)ccc2c1
